root@comp3134:~# tcpdump -i enp1s0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:44.325970 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11888:12116, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326020 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12152:12380, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326072 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12416:12644, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326117 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12680:12908, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326165 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12944:13172, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326218 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13208:13436, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326281 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13472:13700, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326346 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13736:13964, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326412 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14000:14228, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326473 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14264:14492, ack 1, win 501, options [nop,nop,TS val 1836000271 ecr 488179854], length 228
20:32:44.326531 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14528:14756, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326580 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14792:15020, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326629 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15056:15284, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326683 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15320:15548, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326736 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15584:15812, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326786 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15848:16076, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326836 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16112:16340, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326892 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16376:16604, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.326946 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16640:16868, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327001 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 16904:17132, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327066 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17168:17396, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327114 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17432:17660, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
20:32:44.327168 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 17696:17924, ack 1, win 501, options [nop,nop,TS val 1836000272 ecr 488179854], length 228
