root@comp3134:~# tcpdump -n -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:31:00.367770 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 22812:23016, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.367824 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 23016:23220, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.367877 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 23220:23424, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.367919 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 23424:23628, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.367970 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 23628:23832, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368017 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 23832:24036, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368065 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 24036:24240, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368112 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 24240:24444, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368152 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 24444:24648, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368198 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 24648:24852, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368272 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 24852:25056, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368337 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 25056:25260, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368380 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 25260:25464, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368434 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 25464:25668, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368485 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 25668:25872, ack 1, win 501, options [nop,nop,TS val 1835896313 ecr 488075894], length 204
20:31:00.368538 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 25872:26076, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368583 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 26076:26280, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368627 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 26280:26484, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368669 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 26484:26688, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368707 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 26688:26892, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368745 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 26892:27096, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368835 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 27096:27300, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368898 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 27300:27504, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368950 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 27504:27708, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.368996 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 27708:27912, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369030 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 27912:28116, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369063 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 28116:28320, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369213 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 28320:28524, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369267 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 28524:28728, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369313 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 28728:28932, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369366 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 28932:29136, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369414 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 29136:29340, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369457 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 29340:29544, ack 1, win 501, options [nop,nop,TS val 1835896314 ecr 488075894], length 204
20:31:00.369506 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 29544:29748, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369559 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 29748:29952, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369606 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 29952:30156, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369656 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 30156:30360, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369706 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 30360:30564, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369756 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 30564:30768, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369807 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 30768:30972, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369853 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 30972:31176, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369904 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 31176:31380, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369952 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 31380:31584, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.369998 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 31584:31788, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
20:31:00.370045 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 31788:31992, ack 1, win 501, options [nop,nop,TS val 1835896315 ecr 488075894], length 204
